geography,state,percent_food_insecure,number_food_insecure,total_population,unemployment_rate,percent_poor,percent_black,percent_hispanic,median_income,percent_homeowners,percent_disabled,missing_values,small_sample_100,small_sample_500,high_military,low_own_high_income,high_disab,high_college
"Census Tract 1001, Arlington County, Virginia",VA,0.015,80,"5,296",0.015,0.011,0.008,0.110,"203,854",0.948,0.053,0,0,0,0,0,0,0
"Census Tract 1002, Arlington County, Virginia",VA,0.015,100,"6,600",0.011,0.018,0.010,0.070,"233,958",0.934,0.049,0,0,0,0,0,0,0
"Census Tract 1003, Arlington County, Virginia",VA,0.030,190,"6,255",0.039,0.015,0.025,0.074,"231,908",0.962,0.074,0,0,0,0,0,0,0
"Census Tract 1004, Arlington County, Virginia",VA,0.023,90,"3,918",0.022,0.029,0.028,0.073,"250,001",0.936,0.059,0,0,0,0,0,0,0
"Census Tract 1005, Arlington County, Virginia",VA,0.024,110,"4,522",0.023,0.020,0.038,0.041,"242,344",0.855,0.032,0,0,0,0,0,0,0
"Census Tract 1006, Arlington County, Virginia",VA,0.070,240,"3,467",0.015,0.051,0.039,0.144,"140,982",0.640,0.122,0,0,0,0,0,0,0
"Census Tract 1007, Arlington County, Virginia",VA,0.080,460,"5,831",0.015,0.097,0.017,0.136,"147,695",0.605,0.074,0,0,0,0,0,0,0
"Census Tract 1008, Arlington County, Virginia",VA,0.044,70,"1,617",0.015,0.062,0.345,0.109,"111,406",0.680,0.070,0,0,0,0,0,0,0
"Census Tract 1009, Arlington County, Virginia",VA,0.052,220,"4,195",0.028,0.036,0.065,0.072,"156,875",0.740,0.064,0,0,0,0,0,0,0
"Census Tract 1010, Arlington County, Virginia",VA,0.044,140,"3,308",0.028,0.012,0.073,0.094,"162,083",0.681,0.047,0,0,0,0,0,0,0
"Census Tract 1011, Arlington County, Virginia",VA,0.051,300,"5,934",0.020,0.027,0.039,0.043,"187,308",0.740,0.087,0,0,0,0,0,0,0
"Census Tract 1012, Arlington County, Virginia",VA,0.058,230,"4,037",0.022,0.071,0.034,0.211,"153,500",0.750,0.084,0,0,0,0,0,0,0
"Census Tract 1013, Arlington County, Virginia",VA,0.025,180,"7,411",0.024,0.022,0.023,0.169,"199,113",0.861,0.046,0,0,0,0,0,0,0
"Census Tract 1014.01, Arlington County, Virginia",VA,0.081,120,"1,454",0.019,0.040,0.106,0.043,"115,188",0.265,0.010,0,0,0,0,1,0,0
"Census Tract 1014.02, Arlington County, Virginia",VA,0.071,170,"2,362",0.010,0.071,0.025,0.086,"128,796",0.575,0.052,0,0,0,0,0,0,0
"Census Tract 1014.03, Arlington County, Virginia",VA,0.098,590,"6,002",0.022,0.032,0.060,0.075,"115,721",0.212,0.071,0,0,0,0,1,0,0
"Census Tract 1014.04, Arlington County, Virginia",VA,0.102,530,"5,212",0.024,0.063,0.041,0.089,"128,491",0.270,0.064,0,0,0,0,1,0,0
"Census Tract 1015, Arlington County, Virginia",VA,0.084,660,"7,829",0.012,0.055,0.058,0.091,"113,668",0.366,0.057,0,0,0,0,0,0,0
"Census Tract 1016.01, Arlington County, Virginia",VA,0.089,130,"1,474",0.028,0.091,0.013,0.106,"151,875",0.443,0.021,0,0,0,0,0,0,0
"Census Tract 1016.02, Arlington County, Virginia",VA,0.081,140,"1,729",0.008,0.064,0.096,0.076,"97,981",0.317,0.019,0,0,0,0,0,0,0
"Census Tract 1016.03, Arlington County, Virginia",VA,0.100,390,"3,939",0.039,0.082,0.055,0.075,"125,417",0.391,0.033,0,0,0,0,0,0,0
"Census Tract 1017.01, Arlington County, Virginia",VA,0.095,470,"4,916",0.014,0.063,0.092,0.174,"121,462",0.124,0.033,0,0,0,0,1,0,0
"Census Tract 1017.02, Arlington County, Virginia",VA,0.105,570,"5,384",0.052,0.056,0.034,0.119,"95,352",0.303,0.025,0,0,0,0,0,0,0
"Census Tract 1017.03, Arlington County, Virginia",VA,0.106,240,"2,291",0.020,0.114,0.112,0.062,"104,773",0.373,0.059,0,0,0,0,0,0,0
"Census Tract 1018.01, Arlington County, Virginia",VA,0.069,250,"3,664",0.011,0.026,0.032,0.073,"158,656",0.305,0.018,0,0,0,0,0,0,0
"Census Tract 1018.02, Arlington County, Virginia",VA,0.116,810,"6,987",0.044,0.081,0.077,0.202,"130,242",0.189,0.068,0,0,0,0,1,0,0
"Census Tract 1018.03, Arlington County, Virginia",VA,0.099,450,"4,555",0.021,0.066,0.053,0.096,"90,282",0.297,0.051,0,0,0,0,0,0,0
"Census Tract 1019, Arlington County, Virginia",VA,0.058,190,"3,287",0.033,0.035,0.025,0.043,"169,167",0.652,0.029,0,0,0,0,0,0,0
"Census Tract 1020.01, Arlington County, Virginia",VA,0.099,300,"3,007",0.005,0.119,0.078,0.343,"84,406",0.186,0.036,0,0,0,0,0,0,0
"Census Tract 1020.02, Arlington County, Virginia",VA,0.092,130,"1,414",0.009,0.061,0.064,0.153,"82,083",0.196,0.029,0,0,0,0,0,0,0
"Census Tract 1020.03, Arlington County, Virginia",VA,0.145,590,"4,041",0.022,0.157,0.168,0.264,"37,332",0.178,0.143,0,0,0,0,0,0,0
"Census Tract 1021, Arlington County, Virginia",VA,0.146,350,"2,394",0.065,0.152,0.052,0.060,"130,461",0.577,0.157,0,0,0,0,0,0,0
"Census Tract 1022, Arlington County, Virginia",VA,0.133,"1,090","8,220",0.057,0.183,0.333,0.431,"51,156",0.285,0.106,0,0,0,0,0,0,0
"Census Tract 1023.01, Arlington County, Virginia",VA,0.040,60,"1,433",0.018,0.026,0.098,0.087,"141,806",0.789,0.071,0,0,0,0,0,0,0
"Census Tract 1023.02, Arlington County, Virginia",VA,0.071,300,"4,275",0.040,0.098,0.098,0.287,"141,033",0.582,0.026,0,0,0,0,0,0,0
"Census Tract 1024, Arlington County, Virginia",VA,0.066,220,"3,349",0.010,0.037,0.122,0.170,"97,578",0.476,0.086,0,0,0,0,0,0,0
"Census Tract 1025, Arlington County, Virginia",VA,0.088,500,"5,687",0.045,0.034,0.180,0.192,"121,500",0.256,0.060,0,0,0,0,1,0,0
"Census Tract 1026, Arlington County, Virginia",VA,0.078,290,"3,684",0.069,0.035,0.139,0.309,"98,281",0.517,0.063,0,0,0,0,0,0,0
"Census Tract 1027.01, Arlington County, Virginia",VA,0.114,470,"4,135",0.057,0.095,0.335,0.319,"54,482",0.045,0.028,0,0,0,0,0,0,0
"Census Tract 1027.02, Arlington County, Virginia",VA,0.048,100,"2,062",0.032,0.043,0.082,0.333,"122,850",0.620,0.040,0,0,0,0,0,0,0
"Census Tract 1028.01, Arlington County, Virginia",VA,0.059,500,"8,455",0.007,0.064,0.163,0.346,"96,759",0.440,0.065,0,0,0,0,0,0,0
"Census Tract 1028.02, Arlington County, Virginia",VA,0.045,60,"1,383",0.044,0.010,0.064,0.184,"132,292",0.798,0.074,0,0,0,0,0,0,0
"Census Tract 1029.01, Arlington County, Virginia",VA,0.041,120,"2,918",0.009,0.018,0.060,0.121,"117,358",0.662,0.045,0,0,0,0,0,0,0
"Census Tract 1029.02, Arlington County, Virginia",VA,0.073,310,"4,275",0.023,0.020,0.085,0.174,"108,048",0.380,0.072,0,0,0,0,0,0,0
"Census Tract 1030, Arlington County, Virginia",VA,0.029,100,"3,446",0.004,0.013,0.020,0.062,"149,926",0.740,0.023,0,0,0,0,0,0,0
"Census Tract 1031, Arlington County, Virginia",VA,0.098,580,"5,960",0.025,0.184,0.312,0.317,"82,240",0.458,0.055,0,0,0,0,0,0,0
"Census Tract 1032, Arlington County, Virginia",VA,0.080,480,"5,931",0.031,0.038,0.133,0.137,"102,222",0.328,0.036,0,0,0,0,0,0,0
"Census Tract 1033, Arlington County, Virginia",VA,0.116,280,"2,449",0.036,0.148,0.378,0.108,"71,181",0.252,0.046,0,0,0,0,0,0,0
"Census Tract 1034.01, Arlington County, Virginia",VA,0.081,110,"1,353",0.000,0.000,0.119,0.189,"126,250",0.000,0.069,0,0,0,1,1,0,0
"Census Tract 1034.02, Arlington County, Virginia",VA,0.105,620,"5,919",0.025,0.074,0.143,0.084,"121,690",0.233,0.071,0,0,0,0,1,0,0
"Census Tract 1035.01, Arlington County, Virginia",VA,0.096,300,"3,150",0.011,0.074,0.067,0.179,"97,651",0.248,0.059,0,0,0,0,0,0,0
"Census Tract 1035.02, Arlington County, Virginia",VA,0.143,700,"4,941",0.046,0.134,0.194,0.131,"110,929",0.052,0.059,0,0,0,0,1,0,0
"Census Tract 1035.03, Arlington County, Virginia",VA,0.134,600,"4,479",0.050,0.080,0.150,0.060,"105,287",0.056,0.056,0,0,0,0,1,0,0
"Census Tract 1036.01, Arlington County, Virginia",VA,0.056,160,"2,758",0.012,0.043,0.018,0.125,"177,625",0.587,0.059,0,0,0,0,0,0,0
"Census Tract 1036.02, Arlington County, Virginia",VA,0.142,170,"1,223",0.024,0.151,0.088,0.217,"81,328",0.009,0.041,0,0,0,0,0,0,0
"Census Tract 1037, Arlington County, Virginia",VA,0.030,80,"2,616",0.019,0.024,0.037,0.131,"200,515",0.883,0.086,0,0,0,0,0,0,0
"Census Tract 1038, Arlington County, Virginia",VA,0.103,520,"5,027",0.042,0.088,0.243,0.157,"91,181",0.244,0.044,0,0,0,0,0,0,0
"Census Tract 9801, Arlington County, Virginia",VA,.,.,0,.,.,.,.,.,.,.,1,1,1,0,0,1,1
"Census Tract 9802, Arlington County, Virginia",VA,.,.,4,0.000,0.000,0.000,0.000,.,0.000,0.000,1,1,1,0,0,0,0
