Unnamed: 0,location_name,location_address,city,state,zip,location_type,geometry_USER,times,f_address,Match_addr,Longitude,Latitude,Addr_type,Score,Status,Region,RegionAbbr,Subregion,MetroArea,City,Nbrhd,geometry,Match_type,LongLabel,ShortLabel,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,District,Territory,Zone,Postal,PostalExt,Country,LangCode,Distance,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo
1,Safeway,3526 King St.,Alexandria,VA,22302,Supermarket/Grocery Store,"c(38.828974319445464, -77.08836588742717)",24 hours,"3526 King St., Alexandria, VA, 22302","3526 King St, Alexandria, Virginia, 22302",-77.08953845129548,38.82815731833925,PointAddress,100.0,M,Virginia,VA,Alexandria city,,Alexandria,,POINT (-77.08953845099995 38.82815731800008),A,"3526 King St, Alexandria, VA, 22302, USA",3526 King St,,,"3526 King St, Alexandria, Virginia, 22302",,,20.0,,3526,,,,,,,King,St,,,,,,,,,3526 King St,,,,,,22302,1907,USA,ENG,0.0,-77.08959,38.82808800000001,-77.09059,-77.08859,38.82708800000001,38.829088000000006,
2,Giant Food,3480 S Jefferson St.,Falls Curch,VA,22041,Supermarket/Grocery Store,"c(38.85175183579039, -77.11807872729332)",6am-12am,"3480 S Jefferson St., Falls Curch, VA, 22041","3480 S Jefferson St, Falls Church, Virginia, 22041",-77.11786662828169,38.849661659183965,PointAddress,98.56,M,Virginia,VA,Fairfax County,,Falls Church,,POINT (-77.11786662799994 38.84966165900005),A,"3480 S Jefferson St, Falls Church, VA, 22041, USA",3480 S Jefferson St,,,"3480 S Jefferson St, Falls Church, Virginia, 22041",,,20.0,,3480,,,,,S,,Jefferson,St,,,,,,,,,3480 S Jefferson St,,,,,,22041,3104,USA,ENG,0.0,-77.1184485,38.849778000000015,-77.1194485,-77.1174485,38.84877800000002,38.85077800000001,
3,Dominion Market,1201 S Courthouse Rd. ,Arlington,VA,22204,Supermarket/Grocery Store,"c(38.86530593942788, -77.07896270428708)",10am-10pm,"1201 S Courthouse Rd. , Arlington, VA, 22204","1201 S Courthouse Rd, Arlington, Virginia, 22204",-77.07981532465857,38.8621762692307,PointAddress,100.0,M,Virginia,VA,Arlington County,Washington DC Metro Area,Arlington,Columbia Heights,POINT (-77.07981532499997 38.86217626900003),A,"1201 S Courthouse Rd, Arlington, VA, 22204, USA",1201 S Courthouse Rd,,,"1201 S Courthouse Rd, Arlington, Virginia, 22204",,,20.0,,1201,,,,R,S,,Courthouse,Rd,,,,,,,,,1201 S Courthouse Rd,,,,,,22204,0812,USA,ENG,0.0,-77.079069,38.86228800000001,-77.081069,-77.07706900000001,38.860288000000004,38.86428800000001,
4,Safeway,5101 Wilson Blvd.,Arlington,VA,22205,Supermarket/Grocery Store,"c(38.88067512484957, -77.12325133942565)",6am-11pm,"5101 Wilson Blvd., Arlington, VA, 22205","5101 Wilson Blvd, Arlington, Virginia, 22205",-77.12345716195391,38.87764994007143,PointAddress,100.0,M,Virginia,VA,Arlington County,,Arlington,,POINT (-77.12345716199997 38.87764994000003),A,"5101 Wilson Blvd, Arlington, VA, 22205, USA",5101 Wilson Blvd,,,"5101 Wilson Blvd, Arlington, Virginia, 22205",,,20.0,,5101,,,,,,,Wilson,Blvd,,,,,,,,,5101 Wilson Blvd,,,,,,22205,1111,USA,ENG,0.0,-77.1235155,38.877876000000015,-77.1245155,-77.12251549999999,38.87687600000002,38.87887600000001,
5,Streets Market,2201 N Pershing Dr. ,Arlington,VA,22201,Supermarket/Grocery Store,"c(38.88348131284078, -77.08256759324752)",8am-10pm,"2201 N Pershing Dr. , Arlington, VA, 22201","2201 N Pershing Dr, Arlington, Virginia, 22201",-77.08506120788847,38.880901716919496,PointAddress,100.0,M,Virginia,VA,Arlington County,,Arlington,,POINT (-77.08506120799996 38.88090171700003),A,"2201 N Pershing Dr, Arlington, VA, 22201, USA",2201 N Pershing Dr,,,"2201 N Pershing Dr, Arlington, Virginia, 22201",,,20.0,,2201,,,,,N,,Pershing,Dr,,,,,,,,,2201 N Pershing Dr,,,,,,22201,1446,USA,ENG,0.0,-77.085126,38.88108,-77.08612600000001,-77.084126,38.88008,38.882079999999995,
6,Arlington Market,1144 N Stuart St.,Arlington,VA,22201,Supermarket/Grocery Store,"c(38.888158046536645, -77.11123504308611)",9am-10pm,"1144 N Stuart St., Arlington, VA, 22201","1144 N Stuart St, Arlington, Virginia, 22201",-77.112405,38.885463000000016,PointAddress,100.0,M,Virginia,VA,Arlington County,,Arlington,,POINT (-77.11240499999997 38.88546300000007),A,"1144 N Stuart St, Arlington, VA, 22201, USA",1144 N Stuart St,,,"1144 N Stuart St, Arlington, Virginia, 22201",,,20.0,,1144,,,,,N,,Stuart,St,,,,,,,,,1144 N Stuart St,,,,,,22201,4718,USA,ENG,0.0,-77.112405,38.885463000000016,-77.113405,-77.11140499999999,38.88446300000002,38.88646300000001,
7,Target,3101 Richmond Hwy. ,Alexandria,VA,22305,Supermarket/Grocery Store,"c(38.840590983323104, -77.0512525907164)",8am-10pm,"3101 Richmond Hwy. , Alexandria, VA, 22305","3101 Richmond Hwy, Alexandria, Virginia, 22305",-77.05124681906132,38.83362774412816,PointAddress,100.0,M,Virginia,VA,Alexandria city,,Alexandria,,POINT (-77.05124681899997 38.83362774400007),A,"3101 Richmond Hwy, Alexandria, VA, 22305, USA",3101 Richmond Hwy,,,"3101 Richmond Hwy, Alexandria, Virginia, 22305",,,20.0,,3101,,,,,,,Richmond,Hwy,,,,,,,,,3101 Richmond Hwy,,,,,,22305,3042,USA,ENG,0.0,-77.0500125,38.833901999999995,-77.0510125,-77.04901249999999,38.832902,38.83490199999999,
8,Target,5115 Leesburg Pike. ,Falls Curch,VA,22041,Supermarket/Grocery Store,"c(38.85012709570935, -77.11725756264066)",8am-10pm,"5115 Leesburg Pike. , Falls Curch, VA, 22041","5115 Leesburg Pike, Falls Church, Virginia, 22041",-77.11799113439854,38.84590936234149,PointAddress,98.55,M,Virginia,VA,Fairfax County,,Falls Church,,POINT (-77.11799113399996 38.84590936200004),A,"5115 Leesburg Pike, Falls Church, VA, 22041, USA",5115 Leesburg Pike,,,"5115 Leesburg Pike, Falls Church, Virginia, 22041",,,20.0,,5115,,,,,,,Leesburg,Pike,,,,,,,,,5115 Leesburg Pike,,,,,,22041,3290,USA,ENG,0.0,-77.118687,38.844494999999995,-77.119687,-77.11768699999999,38.843495,38.84549499999999,
9,Target,6100 Arlington Blvd. ,Falls Curch,VA,22044,Supermarket/Grocery Store,"c(38.87338501601381, -77.14232012357739)",7am-10pm,"6100 Arlington Blvd. , Falls Curch, VA, 22044","6100 Arlington Blvd, Falls Church, Virginia, 22044",-77.14292840515938,38.86735189047193,PointAddress,98.55,M,Virginia,VA,Fairfax County,,Falls Church,,POINT (-77.14292840499996 38.86735189000007),A,"6100 Arlington Blvd, Falls Church, VA, 22044, USA",6100 Arlington Blvd,,,"6100 Arlington Blvd, Falls Church, Virginia, 22044",,,20.0,,6100,,,,,,,Arlington,Blvd,,,,,,,,,6100 Arlington Blvd,,,,,,22044,2901,USA,ENG,0.0,-77.142312,38.868435000000005,-77.14331200000001,-77.141312,38.86743500000001,38.869435,
10,Target,1500 Wilson Blvd.,Rosslyn,VA,22209,Supermarket/Grocery Store,"c(38.9017119701138, -77.07502886407605)",7am-10pm,"1500 Wilson Blvd., Rosslyn, VA, 22209","1500 Wilson Blvd, Arlington, Virginia, 22209",-77.07451513113855,38.894693795429745,PointAddress,99.9,M,Virginia,VA,Arlington County,,Arlington,,POINT (-77.07451513099994 38.89469379500008),A,"1500 Wilson Blvd, Arlington, VA, 22209, USA",1500 Wilson Blvd,,,"1500 Wilson Blvd, Arlington, Virginia, 22209",,,20.0,,1500,,,,,,,Wilson,Blvd,,,,,,,,,1500 Wilson Blvd,,,,,,22209,2458,USA,ENG,0.0,-77.07449249999999,38.894498999999996,-77.0754925,-77.07349249999999,38.893499,38.895498999999994,
11,Lidl,3500 S Clark St. ,Arlington,VA,22202,Supermarket/Grocery Store,"c(38.84736196479271, -77.05193732802738)",7am-8pm,"3500 S Clark St. , Arlington, VA, 22202","3500 S Clark St, Arlington, Virginia, 22202",-77.0518346214437,38.84375254731953,PointAddress,100.0,M,Virginia,VA,Arlington County,,Arlington,,POINT (-77.05183462099995 38.84375254700007),A,"3500 S Clark St, Arlington, VA, 22202, USA",3500 S Clark St,,,"3500 S Clark St, Arlington, Virginia, 22202",,,20.0,,3500,,,,,S,,Clark,St,,,,,,,,,3500 S Clark St,,,,,,22202,4045,USA,ENG,0.0,-77.052015,38.843729999999994,-77.053015,-77.05101499999999,38.842729999999996,38.84472999999999,
12,Market Basket,1669 Crystal Sq Wy. ,Arlington,VA,22202,Supermarket/Grocery Store,"c(38.86206670396899, -77.052108989492)",7am-6pm,"1669 Crystal Sq Wy. , Arlington, VA, 22202","1669 Crystal Square Arc, Arlington, Virginia, 22202",-77.050962,38.85871499999999,PointAddress,98.04,M,Virginia,VA,Arlington County,,Arlington,,POINT (-77.05096199999997 38.85871500000007),A,"1669 Crystal Square Arc, Arlington, VA, 22202, USA",1669 Crystal Square Arc,,,"1669 Crystal Square Arc, Arlington, Virginia, 22202",,,20.0,,1669,,,,,,,Crystal Square,Arc,,,,,,,,,1669 Crystal Square Arc,,,,,,22202,3322,USA,ENG,0.0,-77.050962,38.85871499999999,-77.051962,-77.049962,38.85771499999999,38.85971499999999,
13,Asian Grocery Market,4809 Columbia Pike. ,Arlington,VA,22204,Supermarket/Grocery Store,"c(38.857039334574246, -77.10916578176037)",8am-10pm,"4809 Columbia Pike. , Arlington, VA, 22204","4809 Columbia Pike, Arlington, Virginia, 22204",-77.109048302816,38.856599484072724,PointAddress,100.0,M,Virginia,VA,Arlington County,,Arlington,,POINT (-77.10904830299995 38.85659948400007),A,"4809 Columbia Pike, Arlington, VA, 22204, USA",4809 Columbia Pike,,,"4809 Columbia Pike, Arlington, Virginia, 22204",,,20.0,,4809,,,,,,,Columbia,Pike,,,,,,,,,4809 Columbia Pike,,,,,,22204,3010,USA,ENG,0.0,-77.109183,38.856933,-77.110183,-77.108183,38.855933,38.857932999999996,
14,European Foods Import Export Inc. ,2700 N Pershing Dr. ,Arlington,VA,22201,Supermarket/Grocery Store,"c(38.88348497582637, -77.09080247719709)",10am-6pm,"2700 N Pershing Dr. , Arlington, VA, 22201","2700 N Pershing Dr, Arlington, Virginia, 22201",-77.09067609824575,38.88069169135562,PointAddress,100.0,M,Virginia,VA,Arlington County,,Arlington,,POINT (-77.09067609799996 38.88069169100004),A,"2700 N Pershing Dr, Arlington, VA, 22201, USA",2700 N Pershing Dr,,,"2700 N Pershing Dr, Arlington, Virginia, 22201",,,20.0,,2700,,,,,N,,Pershing,Dr,,,,,,,,,2700 N Pershing Dr,,,,,,22201,1947,USA,ENG,0.0,-77.090616,38.88055800000001,-77.091616,-77.08961599999999,38.87955800000001,38.881558000000005,
15,Fairlington Farmers Market,3308 S Stafford St. ,Arlington,VA,22206,Farmer's market,"c(38.837309192078706, -77.08704113974021)",Sunday 9am-1pm,"3308 S Stafford St. , Arlington, VA, 22206","3308 S Stafford St, Arlington, Virginia, 22206",-77.08692791023701,38.834251698886106,PointAddress,100.0,M,Virginia,VA,Arlington County,,Arlington,,POINT (-77.08692790999999 38.83425169900005),A,"3308 S Stafford St, Arlington, VA, 22206, USA",3308 S Stafford St,,,"3308 S Stafford St, Arlington, Virginia, 22206",,,20.0,,3308,,,,,S,,Stafford,St,,,,,,,,,3308 S Stafford St,,,,,,22206,1904,USA,ENG,0.0,-77.08717349999999,38.83450500000001,-77.0881735,-77.08617349999999,38.83350500000001,38.835505000000005,
16,Lubber Run Farmers Market,4401 N Henderson Rd #2711,Arlington,VA,22203,Farmer's market,"c(38.8750060303359, -77.11158871657304)",Saturday 8am-12pm,"4401 N Henderson Rd #2711, Arlington, VA, 22203","4401 N Henderson Rd, Arlington, Virginia, 22203",-77.11141545120857,38.87269131807943,PointAddress,100.0,M,Virginia,VA,Arlington County,,Arlington,,POINT (-77.11141545099997 38.87269131800008),A,"4401 N Henderson Rd, Arlington, VA, 22203, USA",4401 N Henderson Rd,,,"4401 N Henderson Rd, Arlington, Virginia, 22203",,,20.0,,4401,,,,,N,,Henderson,Rd,,,,,,,,,4401 N Henderson Rd,,,,,,22203,2711,USA,ENG,0.0,-77.1120135,38.87280899999999,-77.11301350000001,-77.1110135,38.87180899999999,38.87380899999999,
17,Westover Farmers Market,"Westover Library Plaza, 1644 N McKinley Rd. ",Arlington,VA,22205,Farmer's market,"c(38.887834437032495, -77.14094281191674)",Sunday 8am-12pm,"Westover Library Plaza, 1644 N McKinley Rd. , Arlington, VA, 22205","1644 N McKinley Rd, Arlington, Virginia, 22205",-77.14175344188908,38.88609698975687,PointAddress,96.08,M,Virginia,VA,Arlington County,,Arlington,,POINT (-77.14175344199998 38.88609699000006),A,"1644 N McKinley Rd, Arlington, VA, 22205, USA",1644 N McKinley Rd,,,"1644 N McKinley Rd, Arlington, Virginia, 22205",,,20.0,,1644,,,,,N,,McKinley,Rd,,,,,,,,,1644 N McKinley Rd,,,,,,22205,2944,USA,ENG,0.0,-77.142123,38.886371999999994,-77.143123,-77.141123,38.885372,38.88737199999999,WESTOVER LIBRARY PLAZA
18,Arlington Farmers Market,2100 Clarendon Blvd UNIT 414 ,Arlington,VA,22201,Farmer's market,"c(38.89317892290409, -77.08618283288375)",Saturday 8am-12pm,"2100 Clarendon Blvd UNIT 414 , Arlington, VA, 22201","2100 Clarendon Blvd, Ste 414, Arlington, Virginia, 22201",-77.08596612404078,38.89065222006484,Subaddress,100.0,T,Virginia,VA,Arlington County,,Arlington,,POINT (-77.08596612399998 38.89065222000005),A,"2100 Clarendon Blvd, Ste 414, Arlington, VA, 22201, USA","2100 Clarendon Blvd, Ste 414",,,"2100 Clarendon Blvd, Ste 414, Arlington, Virginia, 22201",,,20.0,,2100,,,,,,,Clarendon,Blvd,,,,,,Ste,414,Ste 414,2100 Clarendon Blvd,,,,,,22201,5412,USA,ENG,0.0,-77.085729,38.89034100000001,-77.086729,-77.084729,38.88934100000001,38.891341000000004,
19,Belvedere Markets,1600 N Oak St. ,Arlington,VA,22209,Supermarket/Grocery Store,"c(38.89550431712263, -77.07447774550512)",10am-2pm; 4pm-8pm,"1600 N Oak St. , Arlington, VA, 22209","1600 N Oak St, Arlington, Virginia, 22209",-77.0736167117836,38.89321087898898,PointAddress,100.0,T,Virginia,VA,Arlington County,Washington DC Metro Area,Arlington,Radnor-Fort Myer Heights,POINT (-77.07361671199999 38.89321087900004),A,"1600 N Oak St, Arlington, VA, 22209, USA",1600 N Oak St,,,"1600 N Oak St, Arlington, Virginia, 22209",,,20.0,,1600,,,,L,N,,Oak,St,,,,,,,,,1600 N Oak St,,,,,,22209,2722,USA,ENG,0.0,-77.0737815,38.893203,-77.0747815,-77.07278149999999,38.892203,38.894203,
20,River Place Market,1117 Arlington Blvd. ,Arlington,VA,22209,Supermarket/Grocery Store,"c(38.894577991502175, -77.06804420898978)",8am-11pm,"1117 Arlington Blvd. , Arlington, VA, 22209","1117 Arlington Blvd, Arlington, Virginia, 22209",-77.06926875653839,38.8914310985975,StreetAddress,100.0,M,Virginia,VA,Arlington County,Washington DC Metro Area,Arlington,Radnor-Fort Myer Heights,POINT (-77.06926875699997 38.89143109900004),A,"1117 Arlington Blvd, Arlington, VA, 22209, USA",1117 Arlington Blvd,,,"1117 Arlington Blvd, Arlington, Virginia, 22209",,,20.0,,1117,1011,1137,1011-1137,R,,,Arlington,Blvd,,,,,,,,,1117 Arlington Blvd,,,,,,22209,3201,USA,ENG,0.0,-77.06926875653839,38.8914310985975,-77.0702687565384,-77.06826875653839,38.8904310985975,38.8924310985975,
21,Cherrydale Farmers Market,4100 Vacation Ln. ,Arlington,VA,22207,Farmer's market,"c(38.90246026275278, -77.11147448834552)",Saturday 8am-12pm,"4100 Vacation Ln. , Arlington, VA, 22207","4100 Vacation Ln, Arlington, Virginia, 22207",-77.11180350305841,38.90076088836674,PointAddress,100.0,M,Virginia,VA,Arlington County,,Arlington,,POINT (-77.11180350299998 38.90076088800004),A,"4100 Vacation Ln, Arlington, VA, 22207, USA",4100 Vacation Ln,,,"4100 Vacation Ln, Arlington, Virginia, 22207",,,20.0,,4100,,,,,,,Vacation,Ln,,,,,,,,,4100 Vacation Ln,,,,,,22207,3998,USA,ENG,0.0,-77.11186049999999,38.90013300000001,-77.1128605,-77.11086049999999,38.89913300000001,38.90113300000001,
22,Shirlington Market,4201 31st St S,Arlington,VA,22206,Supermarket/Grocery Store,"c(38.84112951455015, -77.09126477930401)",10am-1pm; 4pm-9pm,"4201 31st St S, Arlington, VA, 22206","4201 31st St S, Arlington, Virginia, 22206",-77.09101507028727,38.8384776025736,PointAddress,100.0,M,Virginia,VA,Arlington County,,Arlington,,POINT (-77.09101506999997 38.83847760300006),A,"4201 31st St S, Arlington, VA, 22206, USA",4201 31st St S,,,"4201 31st St S, Arlington, Virginia, 22206",,,20.0,,4201,,,,,,,31st,St,S,,,,,,,,4201 31st St S,,,,,,22206,4916,USA,ENG,0.0,-77.09026949999999,38.838690000000014,-77.0912695,-77.08926949999999,38.837690000000016,38.83969000000001,
23,La Bodega Supermarket,6170 Arlington Blvd. ,Falls Curch,VA,22044,Supermarket/Grocery Store,"c(38.87296554066915, -77.14648802669194)",9am-7pm,"6170 Arlington Blvd. , Falls Curch, VA, 22044","6170 Arlington Blvd, Falls Church, Virginia, 22044",-77.14669049999999,38.87002799999999,PointAddress,98.55,M,Virginia,VA,Fairfax County,,Falls Church,,POINT (-77.14669049999998 38.87002800000005),A,"6170 Arlington Blvd, Falls Church, VA, 22044, USA",6170 Arlington Blvd,,,"6170 Arlington Blvd, Falls Church, Virginia, 22044",,,20.0,,6170,,,,,,,Arlington,Blvd,,,,,,,,,6170 Arlington Blvd,,,,,,22044,2902,USA,ENG,0.0,-77.14669049999999,38.87002799999999,-77.1476905,-77.14569049999999,38.86902799999999,38.87102799999999,
24,La Union Grocery,4308 Lee Hwy. ,Arlington,VA,22207,Supermarket/Grocery Store,"c(38.89933926229931, -77.11360237319482)",8am-9pm,"4308 Lee Hwy. , Arlington, VA, 22207","4308 Lee Hwy, Arlington, Virginia, 22207",-77.113593,38.896784999999994,PointAddress,100.0,M,Virginia,VA,Arlington County,,Arlington,,POINT (-77.11359299999998 38.89678500000008),A,"4308 Lee Hwy, Arlington, VA, 22207, USA",4308 Lee Hwy,,,"4308 Lee Hwy, Arlington, Virginia, 22207",,,20.0,,4308,,,,,,,Lee,Hwy,,,,,,,,,4308 Lee Hwy,,,,,,22207,3202,USA,ENG,0.0,-77.113593,38.896784999999994,-77.114593,-77.11259299999999,38.895785,38.89778499999999,
25,Bankok 54 Oriental Market,2927 Columbia Pike ,Arlington,VA,22204,Supermarket/Grocery Store,"c(38.866043145453155, -77.0873951913315)",9:30am-8pm,"2927 Columbia Pike , Arlington, VA, 22204","2927 Columbia Pike, Arlington, Virginia, 22204",-77.087754597005,38.862398220381955,PointAddress,100.0,M,Virginia,VA,Arlington County,,Arlington,,POINT (-77.08775459699996 38.86239822000005),A,"2927 Columbia Pike, Arlington, VA, 22204, USA",2927 Columbia Pike,,,"2927 Columbia Pike, Arlington, Virginia, 22204",,,20.0,,2927,,,,,,,Columbia,Pike,,,,,,,,,2927 Columbia Pike,,,,,,22204,4336,USA,ENG,0.0,-77.08778099999999,38.862504,-77.088781,-77.08678099999999,38.861504000000004,38.863504,
