GEOID,NAME,total_pop,nonlatine,nlwhite,nlblack,nlasian,latine,lwhite,lblack,lasian,tpop_nat,nat_nat,nat_noncit,medhhinc,medrent,total_pctincrent,pctincrent35_to_39.9,pctincrent40_to_49.9,pctincrent50_ormore,total_ipop,hh_inet,total_hh_poverty,hh_under_0.5_poverty,hh_0.5_to_0.99_poverty,hh_1_to_1.24_poverty,hh_1.25_to_1.49_poverty,hh_1.5_to_1.84_poverty,total_hh,pct_nlblack,pct_nlwhite,pct_nlasian,pct_latine,pct_lblack,pct_lwhite,pct_lasian,pct_185pov,pct_incrent35,pct_inetaccess,"comcolor <- ifelse(pct_nlwhite < 0.4, 1, 0)",pct_nonnat,pct_noncit,geometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51013102002,"Census Tract 1020.02, Arlington County, Virginia",1414,1197,836,91,196,217,163,0,0,1414,110,279,82083,1811,518,51,57,82,644,588,1412,68,15,175,57,62,714,0.064356436,0.591230552,0.138613861,0.153465347,0,0.115275813,0,0.256373938,0.366795367,0.913043478,0,0.275106082,0.197312588,list(list(c(-77.107869,-77.107838,-77.106807,-77.10606,-77.102706,-77.102231,-77.10392,-77.103752,-77.10514,-77.107446,-77.108238,-77.107869,38.877551,38.877827,38.877702,38.880145,38.881935,38.879329,38.87902,38.876966,38.876627,38.875535,38.876176, 38.877551))),,,,,,,,,,,,,,,,,,,,
51013102003,"Census Tract 1020.03, Arlington County, Virginia",4041,2976,1923,629,345,1065,610,0,0,4041,381,902,37332,1419,2088,60,125,737,2539,1632,4041,373,266,396,328,181,2737,0.155654541,0.475872309,0.085374907,0.263548627,0,0.150952734,0,0.316258352,0.441570881,0.642772745,0,0.317495669,0.223212076,list(list(c(-77.111202,-77.109559,-77.10851,-77.108137,-77.107446,-77.10514,-77.103752,-77.100398,-77.100926,-77.100625,-77.10684,-77.112855,-77.111202,38.873302,38.872479,38.873912,38.87496,38.875535,38.876627,38.876966,38.871443,38.870856,38.870614,38.869038,38.867653, 38.873302))),,,,,,,,,,,,,,,,,,
51013102100,"Census Tract 1021, Arlington County, Virginia",2394,2251,1643,125,382,143,117,0,0,2394,478,66,130461,458,402,5,13,60,951,833,2271,83,264,17,5,61,1003,0.052213868,0.686299081,0.159565581,0.059732665,0,0.04887218,0,0.073095553,0.194029851,0.875920084,0,0.227234754,0.027568922,list(list(c(-77.137631,-77.128388,-77.123791,-77.119677,-77.116451,-77.113043,-77.113226,-77.115507,-77.116025,-77.116613,-77.117804,-77.119895,-77.122383,-77.125429,-77.127183,-77.131849,-77.137631,38.866199,38.866362,38.866447,38.866707,38.866881,38.867586,38.866968,38.862955,38.862203,38.862193,38.862062,38.861046,38.859666,38.85932,38.858109,38.861727, 38.866199))),,,,,,,,,,
51013102200,"Census Tract 1022, Arlington County, Virginia",8220,4675,1132,2515,667,3545,2739,115,0,8220,2064,1778,51156,1578,2321,0,120,1139,3245,2357,8175,582,941,559,477,819,3300,0.305961071,0.137712895,0.081143552,0.431265207,0.013990268,0.333211679,0,0.298103976,0.542438604,0.726348228,1,0.467396594,0.216301703,list(list(c(-77.127183,-77.125429,-77.122383,-77.119895,-77.117804,-77.116613,-77.116025,-77.114108,-77.11068,-77.109588,-77.109812,-77.110538,-77.112196,-77.113931,-77.115238,-77.117226,-77.117746,-77.12048,-77.121151,-77.123609,-77.125868,-77.127183,38.858109,38.85932,38.859666,38.861046,38.862062,38.862193,38.862203,38.861835,38.857178,38.856422,38.856374,38.856263,38.855926,38.855133,38.854757,38.85418,38.854101,38.853393,38.853325,38.855305,38.857042, 
51013102301,"Census Tract 1023.01, Arlington County, Virginia",1433,1308,1029,107,106,125,77,0,0,1433,175,37,141806,1592,125,8,0,0,593,554,1433,14,28,0,0,0,608,0.074668528,0.718073971,0.073970691,0.087229588,0,0.053733426,0,0.009769714,0.064,0.934232715,0,0.147941382,0.025819958,list(list(c(-77.115507,-77.113226,-77.113043,-77.112855,-77.10684,-77.100625,-77.099068,-77.097967,-77.094554,-77.099921,-77.101042,-77.102545,-77.104112,-77.106364,-77.109017,-77.111113,-77.110435,-77.113647,-77.115507,38.862955,38.866968,38.867586,38.867653,38.869038,38.870614,38.869195,38.86846,38.866455,38.864654,38.864847,38.865625,38.863851,38.863351,38.862542,38.861896,38.863173,38.864461, 38.862955))),,,,,,
51013102302,"Census Tract 1023.02, Arlington County, Virginia",4275,3048,2210,374,336,1227,449,0,26,4275,556,583,141033,1783,629,11,75,271,1505,1372,4275,222,226,8,78,332,1531,0.08748538,0.516959064,0.078596491,0.287017544,0,0.10502924,0.006081871,0.149707602,0.567567568,0.911627907,0,0.266432749,0.136374269,list(list(c(-77.115507,-77.113647,-77.110435,-77.111113,-77.109017,-77.106364,-77.104112,-77.102545,-77.101042,-77.099921,-77.094554,-77.092391,-77.091961,-77.098717,-77.101327,-77.106484,-77.108554,-77.109588,-77.11068,-77.114108,-77.116025,-77.115507,38.862955,38.864461,38.863173,38.861896,38.862542,38.863351,38.863851,38.865625,38.864847,38.864654,38.866455,38.864767,38.861321,38.859526,38.858774,38.857286,38.856682,38.856422,38.857178,38.861835,38.862203, 
51013102400,"Census Tract 1024, Arlington County, Virginia",3349,2778,2077,383,274,571,311,0,0,3349,569,284,97578,1647,795,16,92,181,1517,1351,3349,69,73,137,101,73,1643,0.114362496,0.62018513,0.081815467,0.170498656,0,0.092863541,0,0.113466706,0.363522013,0.8905735,0,0.254702896,0.084801433,list(list(c(-77.100625,-77.091943,-77.089385,-77.08704,-77.084454,-77.083762,-77.083666,-77.083279,-77.08247,-77.082372,-77.080239,-77.078178,-77.081276,-77.083589,-77.08594,-77.088131,-77.094554,-77.097967,-77.099068,-77.100625,38.870614,38.872785,38.873429,38.874001,38.87476,38.87526,38.875368,38.877096,38.874874,38.874273,38.871198,38.869055,38.868862,38.868722,38.86863,38.868112,38.866455,38.86846,38.869195, 38.870614))),,,,
51013102500,"Census Tract 1025, Arlington County, Virginia",5687,4596,3092,845,443,1091,997,18,0,5687,757,461,121500,1961,1902,46,65,162,2556,2470,5687,151,63,37,0,129,2685,0.148584491,0.543696149,0.077896958,0.191841041,0.003165113,0.175312115,0,0.055741164,0.143533123,0.966353678,0,0.214172675,0.081062071,list(list(c(-77.094554,-77.088131,-77.08594,-77.083589,-77.081276,-77.080855,-77.079693,-77.076292,-77.075567,-77.07057,-77.065394,-77.063719,-77.06292,-77.067162,-77.067866,-77.069843,-77.073573,-77.075888,-77.07757,-77.08033,-77.081846,-77.083292,-77.084101,-77.086424,-77.087021,-77.091961,-77.092391,-77.094554,38.866455,38.868112,38.86863,38.868722,38.868862,38.866706,38.865965,38.867621,38.867142,38.868899,38.870192,38.86896,38.867127,38.865708,38.865206, 
51013102600,"Census Tract 1026, Arlington County, Virginia",3684,2547,1658,501,270,1137,731,0,0,3684,684,727,98281,1713,712,18,64,120,1475,1328,3684,88,59,100,96,210,1481,0.135993485,0.450054289,0.073289902,0.308631922,0,0.198425624,0,0.134093377,0.283707865,0.900338983,0,0.3830076,0.197339848,list(list(c(-77.098717,-77.091961,-77.091529,-77.089256,-77.088519,-77.089338,-77.090695,-77.09471,-77.096409,-77.095618,-77.09658,-77.098647,-77.098717,38.859526,38.861321,38.859409,38.856219,38.855246,38.853414,38.85269,38.847583,38.850865,38.852086,38.854263,38.858884, 38.859526))),,,,,,,,,,,,,,,,,,
51013102701,"Census Tract 1027.01, Arlington County, Virginia",4135,2816,533,1285,828,1319,542,20,0,4135,1056,1515,54482,1203,1481,111,98,301,1551,1143,4080,212,236,360,119,550,1653,0.31076179,0.128899637,0.200241838,0.318984281,0.004836759,0.131076179,0,0.304166667,0.344361918,0.736943907,1,0.621765417,0.366384522,list(list(c(-77.109588,-77.108554,-77.106484,-77.101327,-77.098717,-77.098647,-77.09658,-77.101322,-77.103004,-77.103477,-77.104987,-77.106138,-77.109337,-77.109812,-77.109588,38.856422,38.856682,38.857286,38.858774,38.859526,38.858884,38.854263,38.852967,38.852121,38.852558,38.854066,38.854898,38.856029,38.856374, 38.856422))),,,,,,,,,,,,,,
51013102702,"Census Tract 1027.02, Arlington County, Virginia",2062,1375,961,101,282,687,232,6,0,2062,387,289,122850,1583,312,28,52,27,821,730,2041,42,34,128,95,122,888,0.048981571,0.466052376,0.136760427,0.333171678,0.002909796,0.112512124,0,0.189612935,0.342948718,0.889159562,0,0.327837051,0.140155189,list(list(c(-77.103004,-77.101322,-77.09658,-77.095618,-77.096409,-77.09471,-77.09523,-77.096888,-77.10137,-77.103004,38.852121,38.852967,38.854263,38.852086,38.850865,38.847583,38.846901,38.847782,38.850761, 38.852121))),,,,,,,,,,,,,,,,,,,,,,,,
51013102801,"Census Tract 1028.01, Arlington County, Virginia",8455,5527,2564,1163,1532,2928,1639,37,0,8455,1423,2023,96759,1760,2011,239,107,464,3594,3104,8443,372,152,239,36,544,3664,0.137551745,0.303252513,0.181194559,0.346303962,0.004376109,0.193849793,0,0.141063603,0.402784684,0.863661658,1,0.407569486,0.239266706,list(list(c(-77.12048,-77.117746,-77.117226,-77.115238,-77.113931,-77.112196,-77.110538,-77.109812,-77.109337,-77.106138,-77.104987,-77.103477,-77.103004,-77.104971,-77.105346,-77.10748,-77.108764,-77.109239,-77.110671,-77.110799,-77.110183,-77.113365,-77.121151,-77.12048,38.853393,38.854101,38.85418,38.854757,38.855133,38.855926,38.856263,38.856374,38.856029,38.854898,38.854066,38.852558,38.852121,38.850664,38.850122,38.847658,38.845561,38.842819,38.84342, 
51013102802,"Census Tract 1028.02, Arlington County, Virginia",1383,1128,962,75,43,255,243,0,0,1383,177,109,132292,2569,100,4,27,3,495,426,1383,8,4,0,27,94,525,0.054229935,0.695589299,0.031091829,0.184381779,0,0.175704989,0,0.093275488,0.34,0.860606061,0,0.206796819,0.078814172,list(list(c(-77.108764,-77.10748,-77.105346,-77.104971,-77.103004,-77.10137,-77.096888,-77.09523,-77.095801,-77.096586,-77.099842,-77.101366,-77.105143,-77.106716,-77.106932,-77.109239,-77.108764,38.845561,38.847658,38.850122,38.850664,38.852121,38.850761,38.847782,38.846901,38.846289,38.845812,38.844616,38.843639,38.842144,38.841934,38.84244,38.842819, 38.845561))),,,,,,,,,,
51013102901,"Census Tract 1029.01, Arlington County, Virginia",2918,2566,2339,87,46,352,251,22,0,2918,268,83,117358,1938,560,11,33,52,1659,1626,2918,16,39,131,63,9,1742,0.029814942,0.801576422,0.015764222,0.120630569,0.007539411,0.08601782,0,0.075051405,0.171428571,0.980108499,0,0.120287868,0.02844414,list(list(c(-77.106716,-77.105143,-77.101366,-77.099842,-77.096586,-77.095801,-77.09523,-77.093092,-77.08957,-77.085704,-77.085696,-77.0857,-77.087493,-77.088788,-77.09183,-77.095872,-77.099097,-77.098277,-77.096251,-77.095721,-77.09467,-77.097662,-77.09783,-77.100722,-77.100064,-77.102287,-77.103569,-77.104426,-77.107019,-77.106716,38.841934,38.842144,38.843639,38.844616,38.845812,38.846289,38.846901,38.845904,38.844745,38.843965,38.843304,38.84296,38.841985, 
51013102902,"Census Tract 1029.02, Arlington County, Virginia",4275,3533,2792,285,186,742,540,0,0,4275,425,701,108048,1991,1501,140,113,209,2421,2263,4263,26,55,0,72,134,2763,0.066666667,0.653099415,0.043508772,0.173567251,0,0.126315789,0,0.054421769,0.307794803,0.934737712,0,0.263391813,0.163976608,list(list(c(-77.099097,-77.095872,-77.09183,-77.088788,-77.087493,-77.0857,-77.085158,-77.087678,-77.09467,-77.095721,-77.096251,-77.098277,-77.099097,38.841022,38.845014,38.843657,38.841921,38.841985,38.84296,38.840425,38.838489,38.835597,38.837304,38.837908,38.839404, 38.841022))),,,,,,,,,,,,,,,,,,
51013103000,"Census Tract 1030, Arlington County, Virginia",3446,3233,2914,35,188,213,162,0,0,3446,90,187,149926,2447,445,10,34,43,1713,1624,3446,32,10,41,51,155,1776,0.010156703,0.845618108,0.054556007,0.061810795,0,0.047011027,0,0.080963436,0.195505618,0.948044367,0,0.080383053,0.054265815,list(list(c(-77.09467,-77.087678,-77.085158,-77.084621,-77.084884,-77.085394,-77.085407,-77.085471,-77.087805,-77.090296,-77.092728,-77.097662,-77.09467,38.835597,38.838489,38.840425,38.838532,38.836211,38.834792,38.833862,38.830263,38.827357,38.829202,38.831188,38.834775, 38.835597))),,,,,,,,,,,,,,,,,,
51013103100,"Census Tract 1031, Arlington County, Virginia",5960,4072,1895,1596,287,1888,1132,59,0,5960,638,707,82240,1754,1286,137,172,331,2373,1986,5935,188,794,177,159,140,2648,0.267785235,0.31795302,0.048154362,0.316778523,0.009899329,0.189932886,0,0.111878686,0.497667185,0.836915297,1,0.225671141,0.118624161,list(list(c(-77.09471,-77.090695,-77.089338,-77.088519,-77.084338,-77.083995,-77.081243,-77.075536,-77.072632,-77.070568,-77.069977,-77.074316,-77.079303,-77.082245,-77.085704,-77.08957,-77.093092,-77.09523,-77.09471,38.847583,38.85269,38.853414,38.855246,38.856407,38.855112,38.85579,38.859074,38.859343,38.859662,38.859535,38.853134,38.8468,38.843433,38.843965,38.844745,38.845904,38.846901, 38.847583))),,,,,,
51013103200,"Census Tract 1032, Arlington County, Virginia",5931,5120,2634,708,1295,811,364,28,0,5931,957,1168,102222,1711,1913,178,182,251,2846,2466,5931,124,124,148,29,104,2973,0.119372787,0.444107233,0.218344293,0.136739167,0.004720958,0.06137245,0,0.068285281,0.319393623,0.866479269,0,0.358286967,0.196931378,list(list(c(-77.091961,-77.087021,-77.086424,-77.084101,-77.083292,-77.081846,-77.08033,-77.07757,-77.077197,-77.077298,-77.076894,-77.074606,-77.074083,-77.072632,-77.075536,-77.081243,-77.083995,-77.084338,-77.088519,-77.089256,-77.091529,-77.091961,38.861321,38.862563,38.862708,38.863305,38.863512,38.863878,38.864274,38.864989,38.86311,38.86253,38.86038,38.860415,38.859549,38.859343,38.859074,38.85579,38.855112,38.856407,38.855246,38.856219,38.859409, 
51013103300,"Census Tract 1033, Arlington County, Virginia",2449,2184,1017,858,215,265,124,0,12,2449,195,290,71181,1679,918,15,107,130,1227,1036,2449,208,160,27,89,208,1274,0.35034708,0.415271539,0.087790935,0.108207432,0,0.050632911,0.004899959,0.217231523,0.274509804,0.844335778,0,0.198040016,0.11841568,list(list(c(-77.07757,-77.075888,-77.073573,-77.069843,-77.067866,-77.06903,-77.069328,-77.069391,-77.069977,-77.070568,-77.072632,-77.074083,-77.074606,-77.076894,-77.077298,-77.077197,-77.07757,38.864989,38.865428,38.866021,38.865135,38.865206,38.863457,38.86169,38.861242,38.859535,38.859662,38.859343,38.859549,38.860415,38.86038,38.86253,38.86311, 38.864989))),,,,,,,,,,
51013103401,"Census Tract 1034.01, Arlington County, Virginia",1353,1097,799,161,54,256,213,0,0,1353,140,29,126250,3053,45,0,0,0,45,41,117,0,0,0,0,0,63,0.118994826,0.590539542,0.039911308,0.189209165,0,0.157427938,0,0,0,0.911111111,0,0.124907613,0.021433851,list(list(c(-77.084574,-77.083702,-77.083068,-77.081075,-77.076337,-77.071752,-77.073704,-77.075743,-77.076543,-77.079135,-77.078408,-77.074878,-77.073704,-77.07057,-77.075567,-77.076292,-77.079693,-77.080855,-77.081276,-77.078178,-77.080239,-77.082372,-77.08247,-77.083279,-77.084138,-77.084701,-77.084574,38.884749,38.886073,38.886479,38.887112,38.887565,38.887636,38.886424,38.884008,38.884791,38.881132,38.876105,38.8698,38.870962,38.868899,38.867142,38.867621, 
51013103402,"Census Tract 1034.02, Arlington County, Virginia",5919,5423,3396,742,891,496,334,34,22,5919,601,563,121690,2352,2835,76,104,428,3696,3488,5919,287,155,13,16,194,4278,0.125359013,0.573745565,0.150532184,0.083797939,0.005744214,0.056428451,0.003716844,0.086163203,0.214462081,0.943722944,0,0.19665484,0.095117418,list(list(c(-77.053546,-77.053758,-77.053106,-77.053091,-77.052608,-77.052378,-77.052257,-77.051964,-77.051669,-77.051594,-77.051563,-77.048523,-77.045672,-77.04348,-77.041838,-77.046281,-77.047582,-77.048316,-77.047681,-77.048154,-77.05008,-77.050731,-77.049077,-77.050803,-77.052249,-77.0524,-77.052953,-77.055388,-77.053546,38.846418,38.847947,38.847991,38.848098,38.853403,38.855898,38.857518,38.85995,38.862917,38.865208,38.86583,38.867123,38.870617,38.871883, 
51013103501,"Census Tract 1035.01, Arlington County, Virginia",3150,2587,1970,211,328,563,513,0,0,3150,362,413,97651,1786,1659,94,43,191,2207,2130,3150,195,28,42,21,44,2596,0.066984127,0.625396825,0.104126984,0.178730159,0,0.162857143,0,0.095873016,0.197709464,0.96511101,0,0.246031746,0.131111111,list(list(c(-77.06903,-77.067866,-77.067162,-77.06292,-77.062748,-77.063104,-77.063696,-77.063,-77.063327,-77.063323,-77.065198,-77.066763,-77.06708,-77.067248,-77.068265,-77.069328,-77.06903,38.863457,38.865206,38.865708,38.867127,38.865898,38.86511,38.862916,38.86131,38.86094,38.858483,38.858401,38.858341,38.860886,38.860411,38.861029,38.86169, 38.863457))),,,,,,,,,,
51013103502,"Census Tract 1035.02, Arlington County, Virginia",4941,4294,2502,843,792,647,401,0,0,4941,417,957,110929,2250,2811,159,108,268,2965,2630,4781,426,254,161,36,19,3554,0.170613236,0.506375228,0.160291439,0.130945153,0,0.08115766,0,0.134281531,0.190323728,0.887015177,0,0.27808136,0.193685489,list(list(c(-77.063104,-77.062748,-77.06165,-77.058575,-77.054334,-77.05435,-77.053509,-77.054552,-77.056114,-77.055736,-77.056034,-77.057659,-77.061456,-77.061497,-77.063323,-77.063327,-77.063,-77.063696,-77.063104,38.86511,38.865898,38.865845,38.86542,38.864849,38.863448,38.859879,38.859848,38.859693,38.857311,38.857352,38.857191,38.857035,38.858568,38.858483,38.86094,38.86131,38.862916, 38.86511))),,,,,,
51013103503,"Census Tract 1035.03, Arlington County, Virginia",4479,4212,2409,535,916,267,207,0,23,4479,380,783,105287,2189,2322,164,169,264,2461,2353,4479,300,73,16,124,135,2829,0.119446305,0.537843269,0.204509935,0.05961152,0,0.046215673,0.005135075,0.12837687,0.257105943,0.9561154,0,0.259656173,0.174815807,list(list(c(-77.056114,-77.054552,-77.053509,-77.05435,-77.054334,-77.051873,-77.051594,-77.051669,-77.051964,-77.052257,-77.054078,-77.055736,-77.056114,38.859693,38.859848,38.859879,38.863448,38.864849,38.864765,38.865208,38.862917,38.85995,38.857518,38.857306,38.857311, 38.859693))),,,,,,,,,,,,,,,,,,
51013103601,"Census Tract 1036.01, Arlington County, Virginia",2758,2412,2095,22,179,346,185,0,0,2758,111,175,177625,1982,394,9,22,17,953,898,2751,73,46,22,0,13,1035,0.007976795,0.759608412,0.064902103,0.125453227,0,0.067077592,0,0.039258451,0.121827411,0.942287513,0,0.103698332,0.063451777,list(list(c(-77.065198,-77.063323,-77.061497,-77.061456,-77.057659,-77.056034,-77.055736,-77.055432,-77.055278,-77.05344,-77.053867,-77.053758,-77.056105,-77.057674,-77.060614,-77.064633,-77.065067,-77.06517,-77.065198,38.858401,38.858483,38.858568,38.857035,38.857191,38.857352,38.857311,38.854898,38.85334,38.853353,38.848497,38.847947,38.847966,38.85053,38.850498,38.852249,38.853179,38.856863, 38.858401))),,,,,,
51013103602,"Census Tract 1036.02, Arlington County, Virginia",1223,957,523,94,313,266,259,0,0,1223,118,438,81328,1989,673,41,45,108,679,626,1223,110,68,16,6,99,849,0.07686018,0.427636958,0.255928046,0.217497956,0,0.211774325,0,0.188879804,0.288261516,0.921944035,0,0.454619787,0.358135732,list(list(c(-77.055736,-77.054078,-77.052257,-77.052378,-77.052608,-77.053091,-77.053106,-77.053758,-77.053867,-77.05344,-77.055278,-77.055432,-77.055736,38.857311,38.857306,38.857518,38.855898,38.853403,38.848098,38.847991,38.847947,38.848497,38.853353,38.85334,38.854898, 38.857311))),,,,,,,,,,,,,,,,,,
51013103700,"Census Tract 1037, Arlington County, Virginia",2616,2274,1960,75,163,342,290,0,0,2616,253,99,200515,3501,114,0,0,4,975,959,2608,59,12,5,10,0,1045,0.028669725,0.749235474,0.062308869,0.130733945,0,0.110856269,0,0.028374233,0.035087719,0.983589744,0,0.134556575,0.037844037,list(list(c(-77.074316,-77.069977,-77.069391,-77.069328,-77.068265,-77.067248,-77.06708,-77.066763,-77.065198,-77.06517,-77.065067,-77.064633,-77.060614,-77.057674,-77.056105,-77.053758,-77.053546,-77.055388,-77.063766,-77.064722,-77.064998,-77.066594,-77.06679,-77.066975,-77.067316,-77.068238,-77.068387,-77.070954,-77.07299,-77.073785,-77.074316,38.853134,38.859535,38.861242,38.86169,38.861029,38.860411,38.860886,38.858341,38.858401,38.856863,38.853179,38.852249, 
51013103800,"Census Tract 1038, Arlington County, Virginia",5027,4240,2671,1141,320,787,537,0,0,5027,710,506,91181,1891,1840,68,87,403,2434,2297,5027,183,241,258,192,155,2545,0.226974339,0.531330814,0.063656256,0.156554605,0,0.106823155,0,0.156753531,0.30326087,0.943714051,0,0.241893774,0.100656455,list(list(c(-77.079303,-77.074316,-77.073785,-77.07299,-77.070954,-77.068387,-77.068238,-77.067316,-77.066975,-77.06679,-77.066594,-77.064998,-77.064722,-77.066825,-77.070348,-77.078554,-77.079302,-77.082245,-77.079303,38.8468,38.853134,38.853147,38.853143,38.85086,38.850852,38.852123,38.850992,38.846172,38.845536,38.845065,38.845374,38.844677,38.843899,38.843957,38.843672,38.842926,38.843433, 38.8468))),,,,,,
51013980100,"Census Tract 9801, Arlington County, Virginia",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,list(list(c(-77.079135,-77.076543,-77.075743,-77.073704,-77.071752,-77.071445,-77.071482,-77.068094,-77.068305,-77.067809,-77.068477,-77.070784,-77.0706217,-77.070099,-77.0693712,-77.068199,-77.067299,-77.06465794,-77.063499,-77.058254,-77.055199,-77.054099,-77.051099,-77.051299,-77.049099,-77.046299,-77.045599,-77.046599,-77.045399,-77.04345409,-77.043299,-77.04109266,-77.041838,-77.04348,-77.045672,-77.048523,-77.051563,-77.051594, ,,,,,
51013980200,"Census Tract 9802, Arlington County, Virginia",4,4,4,0,0,0,0,0,0,4,0,0,NA,NA,4,0,0,0,4,4,4,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,list(list(c(-77.05008,-77.048154,-77.047681,-77.048316,-77.047582,-77.046281,-77.041838,-77.04109266,-77.040599,-77.039099,-77.038899,-77.039299,-77.034004,-77.03183174,-77.031698,-77.034541,-77.038549,-77.041699,-77.044199,-77.04448761,-77.048171,-77.049077,-77.050731,-77.05008,38.84997,38.85224,38.855282,38.85859,38.863369,38.865631,38.870903,38.87172394,38.871212,38.868112,38.865812,38.864312,38.857142,38.85089651,38.850512,38.840473, ,,,
